iter	Logloss
0	0.6789650392
1	0.665034649
2	0.6535790197
3	0.6403501377
4	0.6289476287
5	0.6172712999
6	0.6066342663
7	0.5976109377
8	0.5883738045
9	0.5800902178
10	0.5709243464
11	0.5630877044
12	0.5567852612
13	0.5503041334
14	0.5439650557
15	0.5380952059
16	0.5323467566
17	0.526130332
18	0.5208264655
19	0.5158445869
20	0.5105330083
21	0.5056740789
22	0.5017344991
23	0.4979574084
24	0.4937813228
25	0.4899958042
26	0.4866205992
27	0.4835326159
28	0.4805946627
29	0.4778250258
30	0.4751689853
31	0.4725162556
32	0.4695090232
33	0.4662060559
34	0.4636903468
35	0.4615039952
36	0.4588617338
37	0.4568141593
38	0.4547994395
39	0.4528916407
40	0.451449333
41	0.4491431122
42	0.4473449447
43	0.445317321
44	0.4437681907
45	0.4422639354
46	0.4409514689
47	0.4392381129
48	0.4379714831
49	0.4367292151
50	0.4352739582
51	0.4340310495
52	0.4326505693
53	0.4316008497
54	0.4305281102
55	0.4296705015
56	0.4287901805
57	0.4275615501
58	0.4266809926
59	0.4259300739
60	0.4250453883
61	0.4243009151
62	0.4234143656
63	0.4224453725
64	0.4216368259
65	0.4207613127
66	0.4200132394
67	0.4195154525
68	0.4188843852
69	0.4181594409
70	0.4175134728
71	0.4169763624
72	0.4162731407
73	0.4155908864
74	0.4150540513
75	0.4142149057
76	0.4137654888
77	0.4133311583
78	0.4129980331
79	0.4123720044
80	0.4117113313
81	0.411288133
82	0.4110190783
83	0.41048233
84	0.4099266787
85	0.4095064463
86	0.409066623
87	0.4086445028
88	0.4081587321
89	0.4077466922
90	0.407287796
91	0.4068843393
92	0.4063462295
93	0.4057944049
94	0.4054271375
95	0.4050712074
96	0.404752395
97	0.4044282216
98	0.4040088304
99	0.4036387914
100	0.4033107538
101	0.4027961845
102	0.4025122057
103	0.4021824484
104	0.4018799463
105	0.4016194778
106	0.4012292231
107	0.4010308857
108	0.4006207057
109	0.4002781934
110	0.4001644981
111	0.3998689593
112	0.3995535799
113	0.3991996315
114	0.3989350278
115	0.3986428524
116	0.3983764049
117	0.3981533051
118	0.3979028754
119	0.3976596791
120	0.3973600254
121	0.3971045122
122	0.396953046
123	0.3966811224
124	0.3964202923
125	0.3961803457
126	0.3958293495
127	0.395630544
128	0.3953733495
129	0.3951399344
130	0.3950585018
131	0.3948629683
132	0.3945862452
133	0.3944200555
134	0.3942523766
135	0.3940190576
136	0.3938027257
137	0.3935661165
138	0.3933699739
139	0.3931230344
140	0.3929191534
141	0.3928167451
142	0.3925463693
143	0.3923459209
144	0.3921575685
145	0.3919671808
146	0.3918426404
147	0.3916896134
148	0.3915450141
149	0.391356226
150	0.3910947928
151	0.3909092198
152	0.3907703253
153	0.3905590425
154	0.3904452251
155	0.3903401868
156	0.390215465
157	0.3900950598
158	0.3898407643
159	0.3896312217
160	0.389482823
161	0.38936756
162	0.3891557667
163	0.3888911395
164	0.3886628228
165	0.3885085069
166	0.3883509433
167	0.3882672407
168	0.3881182368
169	0.38802936
170	0.3879305052
171	0.387781076
172	0.3876349331
173	0.3874119242
174	0.3871652537
175	0.3869852935
176	0.3868382252
177	0.3866932547
178	0.3865340984
179	0.3863078168
180	0.3860226387
181	0.3857977878
182	0.3856614235
183	0.3854855493
184	0.3853415802
185	0.3852424127
186	0.3849956978
187	0.3848371777
188	0.384717264
189	0.3845655394
190	0.384440082
191	0.3843027231
192	0.3841245685
193	0.3838919264
194	0.3838020093
195	0.3837248304
196	0.3835273864
197	0.3833666911
198	0.3832982532
199	0.3831971589
200	0.3830687679
201	0.3828961569
202	0.3827068788
203	0.382603245
204	0.3824962853
205	0.3823167258
206	0.3822066668
207	0.3820722017
208	0.3819214278
209	0.3818125612
210	0.381651858
211	0.3814579636
212	0.3813629161
213	0.3812500938
214	0.3811685386
