iter	Passed	Remaining
0	5	5343
1	10	5289
2	15	5274
3	20	5059
4	24	4928
5	29	4893
6	33	4789
7	38	4779
8	43	4737
9	47	4709
10	52	4676
11	56	4650
12	60	4562
13	64	4540
14	68	4516
15	73	4493
16	77	4504
17	82	4480
18	86	4458
19	90	4449
20	95	4431
21	100	4468
22	105	4465
23	111	4519
24	114	4484
25	119	4468
26	123	4452
27	127	4426
28	131	4409
29	135	4383
30	139	4361
31	143	4351
32	147	4329
33	152	4336
34	156	4328
35	161	4316
36	165	4307
37	170	4305
38	174	4293
39	178	4287
40	182	4260
41	186	4250
42	190	4240
43	195	4258
44	200	4259
45	205	4252
46	209	4245
47	214	4244
48	218	4243
49	222	4234
50	227	4225
51	231	4216
52	235	4206
53	239	4197
54	243	4186
55	247	4171
56	251	4166
57	255	4155
58	259	4145
59	264	4145
60	268	4133
61	272	4129
62	276	4115
63	280	4102
64	284	4092
65	288	4083
66	292	4075
67	296	4065
68	300	4056
69	305	4055
70	309	4044
71	313	4037
72	317	4027
73	320	4016
74	325	4009
75	329	4001
76	333	3998
77	337	3989
78	341	3982
79	346	3988
80	351	3984
81	355	3978
82	359	3966
83	362	3958
84	367	3956
85	372	3955
86	376	3947
87	381	3949
88	385	3947
89	389	3941
90	394	3942
91	399	3939
92	403	3938
93	407	3932
94	412	3927
95	416	3918
96	420	3917
97	425	3911
98	429	3906
99	433	3905
100	438	3907
101	443	3904
102	447	3900
103	451	3892
104	455	3885
105	460	3884
106	464	3876
107	470	3882
108	474	3876
109	478	3871
110	481	3858
111	485	3852
112	489	3845
113	494	3846
114	499	3843
115	503	3840
116	508	3836
117	512	3827
118	516	3823
119	521	3823
120	525	3816
121	529	3812
122	533	3807
123	537	3798
124	542	3794
125	546	3789
126	550	3781
127	554	3778
128	559	3777
129	563	3770
130	566	3758
131	570	3750
132	574	3747
133	578	3740
134	583	3735
135	586	3729
136	591	3723
137	595	3717
138	598	3710
139	602	3703
140	606	3696
141	610	3691
142	615	3685
143	618	3678
144	622	3672
145	627	3668
146	630	3661
147	635	3657
148	639	3651
149	644	3649
150	648	3643
151	652	3639
152	657	3637
153	661	3633
154	665	3628
155	670	3630
156	675	3624
157	679	3619
158	683	3615
159	688	3614
160	692	3610
161	696	3604
162	702	3606
163	707	3607
164	711	3602
165	716	3597
166	720	3593
167	723	3583
168	729	3584
169	733	3580
170	737	3577
171	743	3577
172	749	3584
173	754	3583
174	759	3579
175	763	3575
176	769	3577
177	773	3574
